UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment,processed_text
12,44964,New Delhi,04-03-2020,"Beware of counterfeits trying to sell fake masks at cheap prices. Let's defeat coronavirus threat, #Covid_19 collectively. #BeSafe #BeACascader #CoronavirusReachesDelhi 
#coronavirusindia 

https://t.co/2Ikkmimj4f https://t.co/RB9rtt7Nkc",Extremely Negative,bewar counterfeit tri sell fake mask cheap price let defeat coronaviru threat covid19 collect besaf beacascad coronavirusreachesdelhi coronavirusindia
13,44965,"USA, PA",04-03-2020,"Panic food buying in Germany due to #coronavirus has begun.  But the #organic is left behind! #Hamsterkauf

Panic buying is called ""Hamster purchases""(Hamsterkäufe) in German, taken from the way Hamsters stuff their cheeks with food.  

https://t.co/aYQtLLGW1m",Extremely Negative,panic food buy germani due coronaviru begun organ left behind hamsterkauf panic buy call hamster purchaseshamsterkäuf german taken way hamster stuff cheek food
14,44966,,04-03-2020,"#Covid_19 Went to the Grocery Store, turns out all cleaning supplies have been bought out for fear of Coronavirus.

My daughter's substitute teacher showed her class how to make hand sanitizer. Now I just need to buy some 100% alcohol. Wish me luck that any stores will have it.",Extremely Positive,covid19 went groceri store turn clean suppli bought fear coronaviru daughter substitut teacher show class make hand sanit need buy 100 alcohol wish luck store
15,44967,"Washington, DC",04-03-2020,"While we were busy watching election returns and bracing for a Covid-19 outbreak, Trump nominated a chemical-industry lobbyist to head the Consumer Product Safety Commission https://t.co/M2ShHI1Tn0",Positive,busi watch elect return brace covid19 outbreak trump nomin chemicalindustri lobbyist head consum product safeti commiss
16,44968,Bengaluru ,04-03-2020,"#AirSewa 

@flyspicejet is not providing #webchecin customers free seats.

Passengers are forced to choose paid seats as free seats are made available only at airport counter. 

This should be stopped as its discriminatory and against travellers rights 

@HardeepSPuri @MoCA_GoI",Extremely Negative,airsewa flyspicejet provid webchecin custom free seat passeng forc choos paid seat free seat made avail airport counter stop it discriminatori travel right hardeepspuri mocagoi
17,44969,Mumbai,05-03-2020,"What Precautionary measures have you all taken in your respective Restaurants and Hotels, Comment below...
#COVID-19 #Coronavirus

COVID-19: Hotel chains enforce precautionary measures, issue safety, hygiene advisories
https://t.co/7Zo2vqSPzY",Extremely Positive,precautionari measur taken respect restaur hotel comment covid19 coronaviru covid19 hotel chain enforc precautionari measur issu safeti hygien advisori
18,44970,"Toronto, Ontario",05-03-2020,"When youre stockpiling food &amp; other supplies, buy extra for your local food bank. Many families dont have the luxury to spend beyond their weekly budget. @DailyBreadTO  #coronavirus",Neutral,your stockpil food amp suppli buy extra local food bank mani famili dont luxuri spend beyond weekli budget dailybreadto coronaviru
19,44971,,05-03-2020,"That's about a week from now. A bit optimistic.  Probably it will take another month.  Supply chain may be recovering, demand chain will be non-existent in US and Europe for the next month or two.
$spx $qqq $es $nq https://t.co/yXcOfL0BnI",Positive,that week bit optimist probabl take anoth month suppli chain may recov demand chain nonexist us europ next month two spx qqq es nq
20,44972,Tallahassee,05-03-2020,"Studies show the #coronavirus like #COVID19 can live up to nine days on hard surfaces like metal, plastic, and glass.

Our Deputy Commissioner of Consumer Affairs Mary Barzee Flores shows you how to keep clean at the gas pump.

Watch and share? https://t.co/AIqATWT5zz",Extremely Positive,studi show coronaviru like covid19 live nine day hard surfac like metal plastic glass deputi commission consum affair mari barze flore show keep clean ga pump watch share
21,44973,Malta,05-03-2020,"#CoronaVirus #COVID_19 People are starting to become frightened and to do #PanicShopping. Many shelves, meanwhile, turn empty as #goods are sold. #FaceMasks &amp; disinfection liquid are sold out, or they are sold for exorbitant prices! #Blockchain #CryptoNews https://t.co/AkR3lmLEKf",Negative,coronaviru covid19 peopl start becom frighten panicshop mani shelv meanwhil turn empti good sold facemask amp disinfect liquid sold sold exorbit price blockchain cryptonew
22,44974,"Texas, USA",05-03-2020,"For those of you that think credit/debit is just as good as #bitcoin when it comes to combating #coronavirus, keep in mind that this is not a ""contactless transaction.""  How many people at your grocery store or gas station touch this keypad every day? https://t.co/WVq8bb9OlS",Extremely Positive,think creditdebit good bitcoin come combat coronaviru keep mind contactless transact mani peopl groceri store ga station touch keypad everi day
23,44975,"Florida, USA",06-03-2020,Control over stocks and gold is lost...gold coming back very nicely! Loves wallbridge and Balmoral and warns listeners about #coronavirus Sprott Money Ltd. recently put in money to $OCG $GENM $MMG and many more... https://t.co/3aURZ2e4Sj,Extremely Positive,control stock gold lostgold come back nice love wallbridg balmor warn listen coronaviru sprott money ltd recent put money ocg genm mmg mani
24,44976,Chandigarh,06-03-2020,"Sellers are cashing on your panic to sell facemasks and sanitizers at super inflated prices.

In reality, neither sanitizer nor facemasks are ""must have"" to save yourself from #coronavirus. 

Please watch this video for more :

https://t.co/sgOFnAu4j8",Extremely Positive,seller cash panic sell facemask sanit super inflat price realiti neither sanit facemask must save coronaviru pleas watch video
25,44977,Canada,07-03-2020,"Canada's oilpatch is bracing for the impact of plunging crude prices after OPEC and its allies failed to reach a deal aimed at cutting production as economies slow because of the novel #coronavirus. The fool @Jkenney based his budget on hired oil prices 

https://t.co/fDCpQPvPuo",Extremely Negative,canada oilpatch brace impact plung crude price opec alli fail reach deal aim cut product economi slow novel coronaviru fool jkenney base budget hire oil price
26,44978,"Wayne County, MI",07-03-2020,"Alright yall I hope our Melanin prevails but just in case I took some precautions I had some food &amp; water delivered. ????? Ive had my masks for a month and may have to open soon! 
?? #B1 #FBA 

#CoronavirusUSA #COVID https://t.co/cTQMDgDgtD",Positive,alright yall hope melanin prevail case took precaut food amp water deliv iv mask month may open soon b1 fba coronavirususa covid
27,44979,"Bondi Beach, Sydney",07-03-2020,When your usual grocery shopping @woolworths turns into a toilet paper fight in the supermarket aisle. Yikes. #toiletpaperpanic for the #coronavirus has taken a whole new level. https://t.co/aKJ283I20C,Negative,usual groceri shop woolworth turn toilet paper fight supermarket aisl yike toiletpaperpan coronaviru taken whole new level
28,44980,,07-03-2020,"Coronavirus panic spreads: Costco is pulling free samples over COVID-19 - USA TODAY

Coronavirus panic spreads: Costco is pulling free samples over COVID-19  USA TODAY

'It's pandemonium': virus panic-buying hits Los Angeles  Yahoo News

How Costco is Ha https://t.co/MyTDpDomEI",Negative,coronaviru panic spread costco pull free sampl covid19 usa today coronaviru panic spread costco pull free sampl covid19 usa today pandemonium viru panicbuy hit lo angel yahoo news costco ha
29,44981,,07-03-2020,"While you are stocking up, waiting for quarantine, if you can don't forget to donate  food, water, and toiletries to your local food banks to help others without the means to stock up. Get ahead of it before it becomes a crisis. #covid19 #coronavirus",Negative,stock wait quarantin dont forget donat food water toiletri local food bank help other without mean stock get ahead becom crisi covid19 coronaviru
30,44982,United States,07-03-2020,"#Coronavirus is ""an exposure of all the holes in the social safety net,"" says NELP Government Affairs Director Judy Conti

#UI #Unemployment #PaidLeaveForAll
https://t.co/BrCY9IJWSv",Positive,coronaviru exposur hole social safeti net say nelp govern affair director judi conti ui unemploy paidleaveforal
31,44983,"New York, New York",07-03-2020,"Two important phone numbers NYers should know. If you have no doctor or insurance and think you may be sick and need to be tested for #coronavirus, call the state's helpline: 1-888-364-3065. To report price gouging, call the Div. of Consumer Protection at 1-800-697-1220.",Negative,two import phone number nyer know doctor insur think may sick need test coronaviru call state helplin 18883643065 report price goug call div consum protect 18006971220
32,44984,"London, England",08-03-2020,"Tip for all Pro Wrestlers to help combat the #coronavirus...be more like @ZoeLucasPro and bring hand sanitizer to your matches as a precaution

#EVEWrestling @ProWrestlingEVE https://t.co/SUYUsaPm7j",Extremely Positive,tip pro wrestler help combat coronavirusb like zoelucaspro bring hand sanit match precaut evewrestl prowrestlingev
33,44985,USA,08-03-2020,"Is this effective?
Is it necessary?
Or is it just optics?
Scare tactics?
For the American consumer?
For US MSM to use?
If optics, What is the intended effect?
Fear?
Crash US Market-&gt;panic-&gt;elect Biden

#Qanon #coronavirus https://t.co/H48ZMfuAme",Extremely Negative,effect necessari optic scare tactic american consum us msm use optic intend effect fear crash us marketgtpanicgtelect biden qanon coronaviru
34,44986,"Toronto, Ontario",08-03-2020,"IMHO Russia's rug pull on oil prices is designed to end the dollar as the global reserve currency. How? Corp debt collapse, led by high yield and fracking, compounded by COVID-19, will mean Fed and US Govt respond with #MMT. Ciao dollar. Alt is collapse. Got #Gold or #Silver yet?",Extremely Negative,imho russia rug pull oil price design end dollar global reserv currenc corp debt collaps led high yield frack compound covid19 mean fed us govt respond mmt ciao dollar alt collaps got gold silver yet
35,44987,"Angmering, West Sussex",08-03-2020,So not due to #Brexit at all then &gt;&gt; Supermarkets begin #foodrationing after wave of #coronavirus-fuelled panic buying https://t.co/AKgkHxO0tW,Neutral,due brexit gtgt supermarket begin foodrat wave coronavirusfuel panic buy
36,44988,"Dont ask for freedom, take it.",08-03-2020,"Remember, with all the media deflection stories about bog rolls, panic-buying, food shortages, Covid-19, Irish bridges etc etc.

We've still got Brexit, Austerity, poverty, a crashing economy &amp; the worst UK Govt in living memory. 

All depressing stuff &amp; it aint gonna end well.",Extremely Negative,rememb media deflect stori bog roll panicbuy food shortag covid19 irish bridg etc etc weve still got brexit auster poverti crash economi amp worst uk govt live memori depress stuff amp aint gon na end well
37,44989,"New York, NY",08-03-2020,"Fellow Uni instructors! COVID-19 f2f class cancelations are  inconvenient! But remember you're salaried employees. Maybe call/email HR or your union &amp; demand to know how hourly workers (clerical, food-service, custodial, etc) will be  compensated during campus closures?",Negative,fellow uni instructor covid19 f2f class cancel inconveni rememb your salari employe mayb callemail hr union amp demand know hourli worker cleric foodservic custodi etc compens campu closur
38,44990,,08-03-2020,"@howroute Its not even over food... what the actual heck?? I have news for these people ... 

you need food and water before you need the paper to wipe your a$$. Just sayin.. ? 

#covid19 #Covid_19 #coronavirus #corona #virus #panic",Neutral,howrout it even food actual heck news peopl need food water need paper wipe sayin covid19 covid19 coronaviru corona viru panic
39,44991,"Sydney, New South Wales",08-03-2020,"1/25 Part 1 - Why does soap work so well on the SARS-CoV-2, the coronavirus and indeed most viruses? Because it is a self-assembled nanoparticle in which the weakest link is the lipid (fatty) bilayer. A two part thread about soap, viruses and supramolecular chemistry #COVID19 https://t.co/OCwqPjO5Ht",Negative,125 part 1 soap work well sarscov2 coronaviru inde virus selfassembl nanoparticl weakest link lipid fatti bilay two part thread soap virus supramolecular chemistri covid19
40,44992,Socially Distanced in NC,08-03-2020,"Thread: Please STOP shaming folks who stock up on food and personal care products ahead of #CoronaVirus #COVID19. #Trump made it clear that he doesnt care and wont help, so theyre protecting their families their way. Its a tiny bit of mastery and control in terrifying times. https://t.co/12eMup9mtA",Extremely Positive,thread pleas stop shame folk stock food person care product ahead coronaviru covid19 trump made clear doesnt care wont help theyr protect famili way it tini bit masteri control terrifi time
41,44993,"Michigan, USA",09-03-2020,"For those thinking #seniors #disabled &amp; #vets shouldnt be included in any @realDonaldTrump aid package because of #Covid_19 #coronavirus check prices on antibacterial soaps, disinfectant safer transportation other than crowded city busses list goes on @SenStabenow @RashidaTlaib",Positive,think senior disabl amp vet shouldnt includ realdonaldtrump aid packag covid19 coronaviru check price antibacteri soap disinfect safer transport crowd citi buss list goe senstabenow rashidatlaib
42,44994,Pennsylvania,09-03-2020,"So far 36 Pennsylvanians have reached out to my Office to report inflated prices on everything from disinfectant spray to liquid soap.
 
Price gouging like this isnt just wrong, its illegal. Keep your emails coming: pricegouging@attorneygeneral.gov #coronavirus",Negative,far 36 pennsylvanian reach offic report inflat price everyth disinfect spray liquid soap price goug like isnt wrong it illeg keep email come pricegougingattorneygeneralgov coronaviru
43,44995,Kolkata?? and Dhaka??,09-03-2020,"Global stock markets continued their bear run as #DowJones and S&amp;P500 plunged as they opened on Monday. Plunge was largely on the back of the 30% overnight slump in #CrudeOil prices, along with the persistent concerns over the impact of #CoronaVirus on the global #economy.",Neutral,global stock market continu bear run dowjon sampp500 plung open monday plung larg back 30 overnight slump crudeoil price along persist concern impact coronaviru global economi
44,44996,"Washington, D.C.",09-03-2020,Scammers are taking advantage of fears surrounding the #Coronavirus. Here are some tips to help you keep scammers at bay: https://t.co/Yt892bgnBu #COVID2019 https://t.co/kmILU80H6h,Positive,scammer take advantag fear surround coronaviru tip help keep scammer bay covid2019
45,44997,"Burnaby, British Columbia",09-03-2020,"Are you doing business in international markets? This @ExportDevCanada webinar will show you how to navigate todays exporting challenges and rising commodity prices due to the COVID-19 virus.

https://t.co/pDBUlOnAEI",Positive,busi intern market exportdevcanada webinar show navig today export challeng rise commod price due covid19 viru
46,44998,"Manhattan, NY",09-03-2020,"For those in gig economy who only earn if ppl are going out, we can immediately process refunds for 2019 Earned Income Tax Credit or Child Tax Credit - or they can borrow against 2020 credits. That cash can help make ends meet until normal consumer behavior returns #coronavirus",Extremely Positive,gig economi earn ppl go immedi process refund 2019 earn incom tax credit child tax credit borrow 2020 credit cash help make end meet normal consum behavior return coronaviru
47,44999,"Colorado, USA",09-03-2020,"I have instructed that insurance companies make COVID-19 testing free. This important step will help ensure cost barriers do not stand in the way of people getting tested. 

Read more: https://t.co/0VrdDfNPay https://t.co/9JdaVZw7ai",Extremely Positive,instruct insur compani make covid19 test free import step help ensur cost barrier stand way peopl get test read
48,45000,"Washington, DC",09-03-2020,The oil prices dipping has absolutely nothing to do with #COVID2019 it has everything to do with #OPEC talks collapsing and Saudi feuding with Russia. Celebrate and calm the hell down.. weirdos.,Extremely Negative,oil price dip absolut noth covid2019 everyth opec talk collaps saudi feud russia celebr calm hell weirdo
49,45001,United States,09-03-2020,"Global stocks plummeted today due to fear surrounding #COVID2019 and falling oil prices, which saw the biggest one-day drop since the 1991 Gulf War.

Let's look at how the major stock indices have been reacting to the news, based on their closing values. https://t.co/fV7IehqaDo",Extremely Negative,global stock plummet today due fear surround covid2019 fall oil price saw biggest oneday drop sinc 1991 gulf war let look major stock indic react news base close valu
50,45002,#NoNazis?? kaspum zaháv,09-03-2020,"The beginning of a  global recession!

#Coronavirus damaging health crisis?
#oil prices falling down?
US stocks falling down?
7% drop this morning &amp; trading halt?
#migration crisis at the EU borders 
#housingCrisis &amp; skyrocketing rents. Tenants are losing 50% of income?
#Q*",Extremely Negative,begin global recess coronaviru damag health crisi oil price fall us stock fall 7 drop morn amp trade halt migrat crisi eu border housingcrisi amp skyrocket rent tenant lose 50 incom q
51,45003,Australia,09-03-2020,"@7NewsSydney @ScottMorrisonMP Some Factors have bought on the recession 1)Ignoring per-capita recession, 2)wage growth stagnant 3)Consumer debt levels are through the roof 4) casualized work! These changes in the economy are driven by government not #co",Extremely Negative,7newssydney scottmorrisonmp factor bought recess 1ignor percapita recession 2wage growth stagnant 3consum debt level roof 4 casual work chang economi driven govern co
52,45004,USA|EUROPE|ASIA|GLOBAL??,09-03-2020,"Cuomo press conference...
New York is releasing new brand of state made had sanitizer prices from $0.80¢ - $6 a gallon!
#CoronaVirusUpdates #Corona #CoronavirusOutbreak #virus #COVID2019 #COVID19 #NYC

https://t.co/9jhElBwElZ",Neutral,cuomo press confer new york releas new brand state made sanit price 080¢ 6 gallon coronavirusupd corona coronavirusoutbreak viru covid2019 covid19 nyc
53,45005,Colorado,09-03-2020,"Ignore online offers for #vaccinations. There currently are no vaccines, pills, potions, lotions, lozenges or other prescription or over-the-counter products available to treat or cure #Coronavirus disease 2019 (COVID-19)  online or in stores.

@FTC tips: https://t.co/Sqbf4LHB8H https://t.co/DX5po1KDqi",Negative,ignor onlin offer vaccin current vaccin pill potion lotion lozeng prescript overthecount product avail treat cure coronaviru diseas 2019 covid19  onlin store ftc tip
54,45006,"Cambridgeshire, UK",09-03-2020,"If you are lucky enough to be sitting at home with enough food to get you through a period of self-isolation, please consider donating to the @TrussellTrust to help those who couldn't stock up even if they wanted to. #TrussellTrust #foodbanks #coronavirus #COVID19",Extremely Positive,lucki enough sit home enough food get period selfisol pleas consid donat trusselltrust help couldnt stock even want trusselltrust foodbank coronaviru covid19
55,45007,earth,09-03-2020,"@thehill Americans need to take it upon themselves to help avoid contracting covid-19.
Prep to self quarantine for 2 wks.
Stop unnecessary travel or crowd gatherings.
Talk to your employer about how to proceed w/o harm to your career.
Plan for sch",Extremely Negative,thehil american need take upon help avoid contract covid19 prep self quarantin 2 wk stop unnecessari travel crowd gather talk employ proceed wo harm career plan sch
56,45008,?? ???? ?????? . ??? ???? ???,09-03-2020,"@realDonaldTrump Separate Table of US Corna Virus Statistics.
 Very high stats of corona virus.
 US Government's Inability to Control Corona Virus.
 High Price Disinfectant Gel in USA High price of mask in USA. 
Food prices are rising day by day",Negative,realdonaldtrump separ tabl us corna viru statist high stat corona viru us govern inabl control corona viru high price disinfect gel usa high price mask usa food price rise day day
57,45009,"Texas, USA",10-03-2020,"#ToiletPaper shortage ??
Don't believe everything you see on TV! My Costco just now....,.#CoronaVirus https://t.co/FDviKzgFwd",Negative,toiletpap shortag dont believ everyth see tv costco nowcoronaviru
58,45010,"Western Australia, Australia",10-03-2020,"Come on guys, please be like bob!

#COVID2019 #panicbuying #coronavirus https://t.co/kMly3zNynR",Positive,come guy pleas like bob covid2019 panicbuy coronaviru
59,45011,London,10-03-2020,"If you have booked a ticket to an event as part of a package holiday you will be offered an alternative or a refund by your travel provider, if it has been cancelled due to #Coronavirus.

Check ABTA's consumer Q&amp;A at: https://t.co/oUB4MNmrNA

#COVID19 https://t.co/kMHJehS2JH",Positive,book ticket event part packag holiday offer altern refund travel provid cancel due coronaviru check abta consum qampa covid19
60,45012,,10-03-2020,"Breaking: New Jersey officials urge residents to stock up for a two week #coronavirus quarantine ""Just in case""

#COVID19 
https://t.co/fc8imQ7TAR",Neutral,break new jersey offici urg resid stock two week coronaviru quarantin case covid19
61,45013,"Dallas, USA",10-03-2020,"4- Russia LNG will also suffer. The irony is, spot LNG prices were already at a record low because of the #Coronavirus and the declaration of force majeure by Chinese companies. 

Contracted LNG became the only way to make money until oil prices collapsed. It is a big hit https://t.co/ksFQ4uzqAn",Extremely Negative,4 russia lng also suffer ironi spot lng price alreadi record low coronaviru declar forc majeur chines compani contract lng becam way make money oil price collaps big hit
62,45014,"Bowling Green, KY",10-03-2020,#BreakingNews #terrorists have watched closely as the #coronavirus spins its web. They now know what Americans value most. Wiping their ass! Citizens rush to buy toilet paper but neglect to stock up on food! Terrorists are holding our #toiletpaper  factories hostage! Film at 11! https://t.co/7maYfTGxJA,Extremely Negative,breakingnew terrorist watch close coronaviru spin web know american valu wipe ass citizen rush buy toilet paper neglect stock food terrorist hold toiletpap factori hostag film 11
63,45015,Five offices across Canada,10-03-2020,"""As the novel #coronavirus (or #COVID19) continues to spread worldwide, its impact on international business operations, supply chains, travel, commodity prices, consumer confidence and business forecasts is becoming increasingly acute.""
#BLGPublication https://t.co/BDIedMNksK",Extremely Positive,novel coronaviru covid19 continu spread worldwid impact intern busi oper suppli chain travel commod price consum confid busi forecast becom increasingli acut blgpublic
64,45016,,10-03-2020,"Lower #Oil prices, lower #InterestRate, and some sort of fiscal #stimulus is great, but the consumer isn't the problem. The problem is fear of #coronavirus and fear of being quarantined for 14 days. That's why people stopped traveling. Not because of interest rates or taxes.",Extremely Negative,lower oil price lower interestr sort fiscal stimulu great consum isnt problem problem fear coronaviru fear quarantin 14 day that peopl stop travel interest rate tax
65,45017,,10-03-2020,Consumers have increased their online shopping due to coronavirus. https://t.co/5mYfz3RAD0 #retail #ecommerce #study #coronavirus https://t.co/Dz3H6zrWUT,Positive,consum increas onlin shop due coronaviru retail ecommerc studi coronaviru
66,45018,"Lambeth, London",10-03-2020,"For those self indulging in thoughts of food, medicine and essential household goods stock piling. Like people on universal credit be stock piling FFS!!! #coronavirus",Negative,self indulg thought food medicin essenti household good stock pile like peopl univers credit stock pile ff coronaviru
67,45019,"Wales, United Kingdom",10-03-2020,"Ok if #COVID2019 is nothing to panic about why is Italy imposing the biggest restrictions on the civilian population since WW2? 
How will the supermarkets be able to provide food if all the workers are told to stay at home? 
Same with any other Bussiness.",Positive,ok covid2019 noth panic itali impos biggest restrict civilian popul sinc ww2 supermarket abl provid food worker told stay home bussi
68,45020,Washington DC,10-03-2020,"Trump said people must ""be vigilant,"" then concluded, ""Be calm. It's really working out. And: lot of good things are going to happen. The consumer is ready. The consumer is so powerful in our country with what we've done with tax cuts and regulation cuts and all of those things.""",Extremely Positive,trump said peopl must vigil conclud calm realli work lot good thing go happen consum readi consum power countri weve done tax cut regul cut thing
69,45021,Edmonton Alberta,10-03-2020,"The top food items to stock up on in case you are quarantined 

#Coronavirus home stays are on peoples minds. Here are ten foods for stocking a pantry to support physical and mental health.

https://t.co/jrvxRIb57L",Positive,top food item stock case quarantin coronaviru home stay people mind ten food stock pantri support physic mental health
70,45022,"Manchester, UK",10-03-2020,"Hi all! Please support your local Chinese Restaurant &amp; order some delicious food from them ? They are really struggling with the #COVID2019 panic, many are having to let staff go.

My favs in #Manchester are @sweetmandarin &amp; @blueeyedpandam4
Thank you! ??

#iwilleatwithyou https://t.co/jpDHxQMBTv",Positive,hi pleas support local chines restaur amp order delici food realli struggl covid2019 panic mani let staff go fav manchest sweetmandarin amp blueeyedpandam4 thank iwilleatwithy
71,45023,Missouri,10-03-2020,Report any and all instances of price gouging or other COVID-19 scams to the Attorney Generals Consumer Protection Hotline at 800-392-8222 or online at https://t.co/YB2NrTWlfg. #coronavirus https://t.co/H3QqmM3BBl,Negative,report instanc price goug covid19 scam attorney general consum protect hotlin 8003928222 onlin coronaviru
72,45024,,10-03-2020,"Russia by breaking rank from OPEC+ signalled an intent to take down their nemesis: American oil and gas industry.

#USElections2020 #COVID2019 #OilWar are steeped in markets least favorite thing: Uncertainty

But THIS TIME they won't succeed

Low Oil prices won't last long #OOTT https://t.co/TwKYxrDfoW",Extremely Positive,russia break rank opec signal intent take nemesi american oil ga industri uselections2020 covid2019 oilwar steep market least favorit thing uncertainti time wont succeed low oil price wont last long oott
73,45025,España / USA,10-03-2020,"?80% of #Retail experts talk about a significant decrease in #store traffic due to #coronavirus ??
??Check our article???

https://t.co/eobzo0WOUS",Positive,80 retail expert talk signific decreas store traffic due coronaviru check articl
74,45026,,10-03-2020,Met with members of our distributive trade today to examine their preparation   for the impact of Covid 19. Based on reports our key manufacturers and importers have at least 2 to 3 mths of stock. We therefore do not expect that there will be any shortage in critical food items. https://t.co/jtFneBWuVy,Negative,met member distribut trade today examin prepar impact covid 19 base report key manufactur import least 2 3 mth stock therefor expect shortag critic food item
75,45027,New York City,10-03-2020,"Say you need to stock up on #food for a couple of weeks, here's tips on what to get and how to properly store those #perishable items. #coronavirus https://t.co/GnLgWqxpjl https://t.co/cCKvA2ktQ4",Neutral,say need stock food coupl week here tip get properli store perish item coronaviru
76,45028,Kjipuktuk/Halifax,10-03-2020,"My genuine concern around #COVID2019 are folks who may have to isolate, but work low wage/hourly pay jobs - folks who are barely getting by, who DONT get paid sick days. Folks who cant stock up on weeks worth of food. Folks who cant NOT work. 

The working poor will suffer most",Extremely Negative,genuin concern around covid2019 folk may isol work low wagehourli pay job folk bare get dont get paid sick day folk cant stock week worth food folk cant work work poor suffer
77,45029,Australia,10-03-2020,"We could have as many as 60% of the world's population infected with the #Coronavirus by the end of the year.

Your prayers are useless, only science will come to the rescue. If this does happen, our world will not recover for years. Stock up your can food people. #doomsdayBunker",Negative,could mani 60 world popul infect coronaviru end year prayer useless scienc come rescu happen world recov year stock food peopl doomsdaybunk
78,45030,"Manchester, NH",10-03-2020,"IMPORTANT UPDATE! Our CEO Brian Beaulieu has broadened the scope of his COVID-19 webinar. Expect more on the oil prices drop, stock market developments, retail sales, and unfolding situations in China and Italy. Learn more and register: https://t.co/3muKagEw4p https://t.co/uOuyUfjRyW",Positive,import updat ceo brian beaulieu broaden scope covid19 webinar expect oil price drop stock market develop retail sale unfold situat china itali learn regist
