,count
flore,1
keep,143
share,53
start,99
frighten,2
panicshop,19
meanwhil,19
good,174
facemask,12
disinfect,25
liquid,11
exorbit,9
blockchain,5
cryptonew,1
think,152
creditdebit,1
bitcoin,13
come,132
combat,15
mind,30
contactless,1
transact,5
station,16
touch,36
keypad,1
everi,102
control,38
gold,9
lostgold,1
back,75
nice,25
wallbridg,1
balmor,1
warn,18
listen,23
sprott,1
money,70
ltd,1
recent,18
put,60
ocg,1
genm,1
mmg,1
seller,12
cash,31
super,9
inflat,13
realiti,6
neither,9
must,37
save,31
pleas,246
video,27
canada,32
oilpatch,1
plung,11
crude,8
opec,4
alli,2
fail,12
reach,25
deal,38
aim,3
cut,36
economi,49
slow,15
novel,11
fool,3
jkenney,1
base,24
hire,16
oil,82
alright,4
yall,27
hope,63
melanin,1
prevail,3
case,96
took,13
precaut,20
water,138
deliv,37
iv,35
open,92
soon,24
b1,2
fba,2
coronavirususa,20
covid,138
usual,40
woolworth,10
fight,51
aisl,41
yike,4
toiletpaperpan,13
whole,26
level,15
spread,109
pull,9
sampl,4
usa,22
today,194
pandemonium,7
viru,152
panicbuy,143
angel,3
yahoo,1
news,56
ha,3
wait,52
quarantin,78
dont,153
forget,36
donat,99
toiletri,5
help,231
other,60
mean,48
get,430
ahead,22
crisi,73
exposur,11
hole,4
social,71
net,2
say,119
nelp,1
govern,77
director,1
judi,1
conti,1
ui,1
unemploy,21
paidleaveforal,1
import,51
phone,19
number,24
nyer,1
know,136
doctor,19
insur,31
test,110
state,52
helplin,1
18883643065,1
report,58
goug,21
div,1
18006971220,1
tip,38
pro,6
wrestler,3
coronavirusb,2
zoelucaspro,1
bring,24
match,7
evewrestl,1
prowrestlingev,1
effect,48
necessari,27
optic,2
scare,43
tactic,1
american,53
msm,5
intend,2
crash,24
marketgtpanicgtelect,1
biden,4
imho,1
russia,13
rug,1
design,7
end,63
dollar,14
global,50
reserv,8
currenc,4
corp,4
debt,17
collaps,9
led,7
high,59
yield,2
frack,3
compound,1
fed,10
govt,23
respond,14
mmt,1
ciao,1
alt,1
got,94
silver,6
yet,40
brexit,5
gtgt,5
begin,24
foodrat,1
wave,6
coronavirusfuel,1
media,44
deflect,1
stori,24
bog,14
roll,93
shortag,60
irish,4
bridg,2
etc,82
weve,18
still,133
auster,1
poverti,6
worst,18
uk,40
memori,2
depress,4
aint,7
gon,46
na,62
well,106
fellow,10
uni,1
instructor,1
f2f,1
cancel,64
inconveni,3
your,40
salari,4
employe,89
mayb,43
callemail,1
hr,8
union,8
hourli,2
cleric,1
foodservic,2
custodi,1
compens,1
campu,2
closur,22
howrout,1
even,153
actual,35
heck,3
wipe,65
sayin,3
corona,117
125,1
part,35
1,95
work,310
sarscov2,7
inde,4
virus,7
selfassembl,1
nanoparticl,1
weakest,1
link,13
lipid,1
fatti,1
bilay,1
thread,14
supramolecular,1
chemistri,2
shame,25
folk,52
person,70
care,70
clear,31
doesnt,14
wont,33
theyr,26
tini,5
masteri,4
terrifi,6
senior,14
disabl,11
vet,1
shouldnt,8
includ,45
realdonaldtrump,33
aid,7
packag,21
check,66
antibacteri,8
safer,4
transport,12
crowd,53
buss,1
list,41
goe,23
senstabenow,1
rashidatlaib,1
far,29
36,3
pennsylvanian,1
offic,30
everyth,79
spray,10
isnt,25
wrong,20
illeg,10
email,38
pricegougingattorneygeneralgov,1
market,135
continu,61
bear,3
run,101
dowjon,1
sampp500,1
monday,15
larg,35
overnight,5
slump,1
crudeoil,4
along,7
persist,1
scammer,5
advantag,23
surround,13
bay,4
covid2019,178
intern,12
exportdevcanada,1
webinar,4
navig,7
today,2
export,11
challeng,12
rise,33
commod,12
gig,3
earn,9
ppl,52
immedi,17
process,6
refund,7
2019,3
incom,25
tax,23
credit,17
child,10
borrow,1
2020,33
meet,25
behavior,21
instruct,4
compani,74
step,20
ensur,22
barrier,3
stand,21
read,43
dip,5
absolut,20
noth,40
talk,40
saudi,8
feud,1
celebr,3
calm,43
hell,18
weirdo,1
plummet,7
fall,30
saw,39
biggest,10
oneday,1
drop,49
sinc,58
1991,2
gulf,3
war,12
major,30
indic,2
react,9
close,159
valu,16
recess,14
damag,8
health,113
7,18
morn,39
trade,15
halt,7
migrat,1
eu,4
border,6
housingcrisi,1
skyrocket,8
rent,12
tenant,2
lose,21
50,17
q,7
7newssydney,1
scottmorrisonmp,3
factor,4
1ignor,1
percapita,1
recession,1
2wage,1
growth,6
stagnant,1
3consum,1
roof,3
4,45
casual,2
chang,49
driven,5
co,16
cuomo,1
press,7
confer,7
york,9
releas,12
brand,29
080¢,1
6,30
coronavirusoutbreak,59
nyc,8
ignor,8
offer,51
vaccin,10
current,47
pill,3
potion,2
lotion,3
lozeng,2
prescript,10
overthecount,2
treat,10
cure,14
diseas,26
,12
ftc,4
lucki,7
enough,75
sit,19
home,237
period,10
selfisol,27
consid,49
trusselltrust,6
want,124
foodbank,21
thehil,2
upon,9
avoid,70
contract,21
prep,14
self,41
wk,2
unnecessari,10
gather,34
employ,13
proceed,3
wo,5
harm,7
career,1
plan,50
sch,1
separ,1
tabl,2
corna,1
statist,2
stat,3
inabl,2
gel,10
believ,14
see,153
tv,21
nowcoronaviru,1
guy,37
bob,3
book,39
ticket,23
holiday,12
altern,10
abta,1
qampa,4
break,37
jersey,2
offici,18
urg,21
resid,14
lng,3
also,107
suffer,19
ironi,5
spot,13
alreadi,55
record,12
declar,20
majeur,3
chines,18
becam,2
big,57
breakingnew,3
terrorist,2
spin,2
web,4
ass,24
citizen,15
rush,20
neglect,2
hold,13
factori,10
hostag,2
film,5
11,8
worldwid,9
oper,17
confid,16
forecast,5
increasingli,5
acut,1
blgpublic,1
lower,34
interestr,1
sort,8
fiscal,5
stimulu,8
great,51
isnt,23
problem,29
14,27
interest,33
rate,26
retail,284
ecommerc,23
indulg,1
thought,66
medicin,31
essenti,69
household,17
pile,59
univers,11
ff,6
ok,24
itali,41
impos,3
restrict,14
civilian,1
popul,15
ww2,1
abl,53
told,30
stay,173
bussi,1
said,71
vigil,5
conclud,1
realli,91
lot,95
thing,151
happen,52
readi,25
power,14
countri,71
done,37
regul,5
top,17
item,123
people,9
ten,6
pantri,27
support,65
physic,8
mental,6
delici,5
struggl,31
staff,54
fav,2
manchest,1
sweetmandarin,1
blueeyedpandam4,1
thank,100
iwilleatwithy,1
instanc,2
scam,16
attorney,5
general,2
hotlin,5
8003928222,1
rank,1
signal,1
intent,2
nemesi,1
industri,32
uselections2020,1
oilwar,1
steep,3
least,37
favorit,13
uncertainti,13
wont,34
succeed,1
long,88
oott,1
80,6
expert,18
signific,4
decreas,6
traffic,16
articl,15
met,3
member,15
distribut,14
examin,1
prepar,64
19,143
key,14
manufactur,17
3,73
mth,2
therefor,4
expect,40
critic,9
coupl,28
here,17
properli,3
perish,10
genuin,7
around,71
isol,46
wagehourli,1
pay,69
job,50
bare,25
worth,30
poor,17
could,80
60,12
world,89
infect,29
year,58
prayer,5
useless,3
scienc,3
rescu,4
doomsdaybunk,1
updat,50
ceo,17
brian,1
beaulieu,1
broaden,1
scope,1
develop,15
sale,46
unfold,2
situat,57
china,53
learn,24
regist,10
target,28
serious,30
ad,22
hour,94
rigor,1
bolster,1
pick,45
encourag,19
limit,51
purchas,57
wsyx6,1
older,25
amid,51
insid,23
wow,11
1000000,1
death,18
20000,1
die,36
mo,6
mney,1
fish,5
hunt,4
chemist,3
rais,22
boycot,3
greed,7
whove,1
almost,36
fg,2
compass,5
decenc,4
witch,1
hazel,1
diy,2
ameshaa,1
donaldtrump,4
lie,10
rumor,7
never,67
recogn,5
sens,21
humor,3
balm,3
tell,52
blame,7
trumpdem,3
q1,1
heavili,5
declin,10
analyst,4
estim,3
tdhillon33,1
daveaurelio,1
analys,1
data,19
trusteddata,1
refinitiv,1
suggest,11
slowstop,1
remot,20
school,104
lectur,1
3keep,1
hsedept,1
websit,22
deliveri,110
broadband,4
remotework,1
rural,5
clorox,7
5,47
29,2
gee,2
bet,12
safe,87
adapt,3
answer,19
question,25
fraud,3
6177278400,1
18888306277,1
fair,4
labor,3
6177273465,1
suspens,4
elimin,4
payrolltax,1
quickest,1
sensibl,9
enhanc,5
especi,30
parttim,2
wage,9
exactli,5
advic,29
nation,35
medic,45
ventur,3
gov,19
wash,60
carri,20
aw,5
felt,12
affect,44
contain,26
shippingcontain,1
mrbox,1
often,3
20,22
second,7
sanitis,16
lead,16
colleagu,3
hamsterkäuf,3
term,15
cute,1
covid19ireland,6
coronavirusireland,10
panicbuyingireland,1
public,68
build,14
hub,1
matter,15
utmost,1
urgenc,5
penal,3
profit,20
fujifilmxu,1
xt4,1
x100v,1
robert,2
join,11
saturday,16
march,46
14th,2
downtown,2
locat,20
10am,1
5pm,3
sure,69
mysteri,1
giveaway,1
spike,10
emerg,51
crime,2
besid,6
can,61
kr,1
tgt,1
wmt,2
amzn,4
cv,7
invest,10
nileshshah68,1
summar,1
point,33
hlaurora63,1
husband,12
ask,67
missouri,1
ag,4
sue,2
televangelist,1
advertis,4
silver,1
solution,1
presid,23
away,40
first,72
eat,73
idiot,15
hamiltonpoverti,1
canadian,14
feder,10
basicincom,1
wellb,5
payment,9
basic,41
interim,1
healthi,34
reviv,2
cdnpoli,3
solid,6
complexhealth,1
needscdc,1
covid19canada,17
coronaviruscanada,15
bcsenior,1
napl,1
seria,1
footbal,6
player,2
callejon,1
llorent,1
ospinta,1
among,7
queu,6
outsid,37
remind,20
statewid,2
californian,1
hous,51
children,21
access,21
main,13
sourc,13
meal,29
wear,20
distanc,47
appear,5
pilingpan,1
im,115
move,24
someth,49
whistl,1
appl,39
band,5
better,41
pretti,19
chanc,18
waiterwaitress,1
grocerydepart,1
clerk,10
ubertaxi,1
driver,18
doesnt,17
leav,130
contact,45
berni,5
radic,1
understand,39
would,128
youd,4
boost,16
sever,22
wit,11
yesterday,41
cough,39
merchandis,1
elsewher,3
bigw,1
eastgarden,1
auspol,5
chiropractor,1
naturopath,1
blackpink,2
bt,4
coach,1
trainer,2
librarian,2
yibo,1
xiaozhan,1
animalcross,3
trucker,3
metro,11
manila,9
lock,11
caus,62
hoard,99
less,40
fortun,7
oh,18
lord,5
pray,10
boil,2
hey,29
guysss,1
messag,22
friend,50
viewer,1
awar,12
follow,27
procedur,3
aadyasitara,1
aadya,1
sitara,1
coronavíru,1
coronaaleart,1
staysaf,5
hurt,10
toronto,12
torontodotcom,1
old,34
grandma,2
cabinet,3
round,7
present,6
hydrogen,1
peroxid,1
expir,7
juli,2
2001,1
train,17
gym,11
sxsw,1
ballgam,1
amus,1
park,18
either,20
gun,9
street,22
beauti,11
strictli,3
small,43
transmitt,1
colleg,11
insecur,9
student,16
hungri,10
feed,20
kid,36
venezuela,2
latin,1
america,24
twin,2
crise,5
what,21
speed,2
technolog,12
revolut,3
servic,74
faster,9
pace,5
robot,4
vintagebook,2
page,5
234,1
med,17
cat,30
picki,1
rachaelray,1
meat,31
veggi,4
fruit,13
noodl,9
rice,36
fresh,17
dri,18
els,49
fallout,5
ghost,2
flight,26
swap,1
cabin,2
payload,2
cargo,1
individu,6
pastim,1
lockdown,79
prepper,15
beprepar,3
coronavid19,2
wuhanviru,11
wuhancoronaviru,4
admin,1
cruis,5
ill,42
turkish,1
migro,1
surg,18
much,90
15,20
tourist,2
destin,4
panick,55
covid19uk,22
former,2
boss,2
possibl,34
symptom,9
abiiti,1
restock,21
he,7
eitheror,1
plu,14
packer,1
broke,4
australian,6
toiletpapercrisi,17
polic,12
interven,4
woman,16
just,1
packet,1
four,6
packet,5
cart,36
thejagmeetsingh,2
secur,29
r,9
afraid,14
lysol,17
trevor,1
rd,1
tcfd,1
alway,23
diet,17
consist,2
protein,5
fat,4
carb,1
michaelrosen27,1
foodismedicin,1
sainsburi,22
midst,10
gener,23
insan,25
seen,69
togeth,36
latest,14
piec,7
marionnestl,1
curiou,8
inform,37
poll,4
martha,1
grind,1
chariti,6
youtheastsid,1
clubinsid,1
scrambl,5
fundrais,4
covid19seattl,2
upayasv,1
virtual,3
dream,3
seattlefdn,1
komonew,1
squirt,1
awesom,6
donut,2
cup,4
coffe,8
therightcoffe,1
cptsd,1
therapist,2
recommend,16
advis,10
anymor,11
instead,38
canceleveryth,11
tend,3
caution,6
cowork,6
chemic,1
explan,1
kickass,1
weapon,3
i,5
demolit,2
team,9
brick,7
away,1
prof,3
palli,1
thordarson,1
bresnick,1
petrol,6
place,77
sanitizertoilet,1
greedi,10
asshol,7
shit,41
indoor,9
hardli,6
cornoravirusuk,3
banter,2
smart,14
plagu,4
foodsecur,1
towel,21
fill,24
fridg,9
feasibl,2
immun,20
system,36
drink,20
vitamin,15
metromanilacovid,1
didnt,21
likespeech,1
antihung,1
polici,15
unexpectedli,3
rose,4
februari,7
ever,39
notic,29
afford,50
skip,3
stamped,4
headlin,6
grow,18
freezer,10
monitor,7
frozen,27
storag,6
discov,6
play,24
role,6
nonperish,15
privileg,12
pandem,150
raid,8
cho,1
ur,21
biglangdamingkailangan,1
cpg,3
starbuck,6
uniqlo,1
nike,9
temporarili,24
shutter,3
marketplac,4
reportedli,5
louisvuitton,1
ralph,3
lauren,1
im,121
piss,5
fault,9
£11,1
£2,1
u,31
w,22
forexlifecom,1
higher,17
forex,2
forexsign,1
forextrad,2
retailrel,1
moment,21
servicedock,1
someon,62
sneez,12
checkout,14
queue,28
instor,8
via,62
storebrand,2
mode,8
except,24
post,39
coronavirusitalla,1
cbcterri,1
canada,2
respons,43
exemplary,1
dr,7
bruce,1
aylward,1
leader,7
who,3
mission,3
distancingclean,1
unelect,1
bankofengland,1
theur,1
asset,5
steal,8
makati,1
philippin,4
announc,30
16,14
short,11
housemm,1
tomorrow,26
text,3
housem,1
tho,8
easili,8
vitaminc,1
citru,1
server,1
glove,18
wednesdaythought,1
origin,8
handl,25
bless,11
shift,24
habit,18
doubl,9
switch,5
postaltechnew,1
citigroup,1
michael,2
corbat,1
thi,1
financi,24
sound,9
shape,1
help,1
mindlessli,1
dietproblem,1
bathroom,1
taught,3
anyth,36
washyourhand,7
non,16
practic,20
polit,10
stress,26
10,30
lender,1
addit,16
beget,2
flu,29
season,15
shouldnt,10
la,15
overcom,2
cooper,2
askcdc,1
adult,6
metric,3
blow,4
drastic,4
alter,3
life,48
,16
robaepric,1
tech,7
businessinsid,1
everybodi,23
wth,2
id,8
rather,20
count,7
walk,31
trail,2
decent,6
garag,1
pool,4
shut,46
pizza,7
ipa,1
quot,4
do,2
musthav,1
eviefordham,1
cheescak,1
destroy,6
sharehold,1
manag,26
replac,8
streamlin,2
view,4
forb,1
cake,2
dine,3
anxieti,16
risk,48
catalyst,1
deep,4
root,2
feel,49
pandumb,2
relief,13
dc,5
util,4
electr,2
whitehous,5
cashier,16
smartfoodservic,1
theyll,6
ive,35
reason,28
fact,27
annoy,6
wise,9
bond,9
pandemia,3
haven,2
bondsth,1
opposit,4
greek,2
coronovirusupd,1
econom,28
greec,2
up,5
rich,10
owner,13
checker,1
lick,2
finger,3
immunocompromis,4
ugh,3
highrisk,2
final,16
shelterinplac,1
stock,1
doc,3
36mo,1
food,1
keep,1
if,1
commun,61
purifi,3
pop,10
basket,6
there,24
paranoid,4
admit,3
bing,2
youtub,8
idea,26
booz,2
aewrestl,1
luca,1
fan,6
district,4
cover,16
forbidden,1
12,25
environ,7
apart,11
basi,6
constantli,4
poison,5
preprint,1
nejm,1
remain,35
viabl,2
air,13
aerosol,1
stabl,5
stainless,1
steel,1
detect,1
72,2
differ,22
given,12
warrior,1
leagu,3
direct,21
host,3
thursday,10
chase,4
center,9
game,24
bar,12
worship,2
guest,8
ministri,8
portabl,4
creditcard,1
card,34
panickbuy,9
difficult,13
grate,3
mutton,3
chicken,18
kathal,2
coronavirusinindia,6
jackfruit,1
8000,2
arlington,1
reduc,28
lunch,8
ap,2
give,61
gift,14
min,4
netelixir,1
founder,1
discuss,11
search,5
netelixir,2
latenc,1
land,5
prior,2
onlineshop,16
monstrou,1
amount,21
pasta,73
unabl,7
excess,3
buyer,16
regret,1
serv,18
coronavirusau,4
focu,6
side,22
traveltour,1
largest,3
sector,9
apolog,4
ill,18
sorrynotsorri,2
btc,4
proven,3
heaven,3
multin,2
dump,6
crypto,5
sebdanc,1
anyway,11
bleach,6
cleaner,7
bacon,2
steak,2
three,11
11690000,1
ohio,4
scari,11
complet,17
outlook,3
client,7
author,12
float,1
agricultur,5
secretari,1
william,2
dar,1
suffici,3
action,12
meant,2
conting,1
worsen,1
necess,26
group,23
shelter,12
depend,6
andor,9
flexibl,4
ifwhathow,1
northmantrad,1
federalreserv,2
bubbl,3
implod,2
maximum,1
employmentmi,1
endthef,1
boomerplagu,1
convers,2
conversionr,1
quash,2
natur,10
desk,3
purs,2
screen,13
tray,2
lab,3
kill,35
toughest,2
germ,9
nutritionhous,1
wer,35
washinghand,1
frequent,2
keyboard,2
,24
creat,39
psa,13
photooftheday,1
stockphotographi,1
stockphoto,1
photosforsal,1
sanfrancisco,1
mikeandersonsr,1
none,10
scarciti,4
nurs,18
arnt,1
potu,9
sec,1
tissu,22
rx,1
drug,16
mass,31
shoot,3
paralyz,1
puzzl,2
senatorloeffl,1
vp,3
stevenmnuchin1,1
strong,13
nothingbtw,1
wherearethetest,2
lookout,1
relat,22
file,5
complaint,6
we,11
disappoint,3
attempt,5
artifici,2
amazonin,5
flipkart,9
grofer,1
netm,1
pharmeasyapp,1
handsanit,10
walmart,46
repeat,2
lane,3
touchscreen,2
minut,12
retailtrend,1
viruscontain,1
atrisk,2
impair,1
take,1
action,1
ration,24
fli,12
institut,9
rockvil,1
rkv,1
moco,1
maryland,4
montgomerycounti,2
iga,1
dog,32
saga,1
aupol,2
ridicul,20
swung,1
tonight,28
found,25
marin,1
trophi,2
accord,14
dude,3
rama,1
margarin,1
leaver,1
koo,2
bean,33
check,1
out,2
ciabatta,1
coronavirusinsa,2
liter,19
ago,25
hum,2
sander,1
democrat,5
frontrunn,1
domin,6
victori,2
nevada,1
note,15
brag,2
singl,16
alcoholbasedproduct,1
might,36
joke,17
asid,3
gone,55
relax,6
maintain,6
sleep,7
bat,5
mom,18
regularli,5
face,67
elbow,5
bright,3
wife,10
longer,17
expens,13
trip,28
asia,6
oversea,1
mob,2
disguis,3
telangana,1
politician,2
abroad,3
mint,1
controlling,1
trspartyonlin,1
deccanchronicl,1
editorofdc,1
danger,19
dem,2
chao,24
shake,5
hug,4
bite,3
fox,1
bad,33
perfect,9
kit,21
elderli,79
mortal,2
extrem,13
reaction,9
meetup,2
privatelabel,1
tradeshow,1
hightech,1
consumerpackagedgood,1
disrupt,17
globe,6
harvardbiz,1
detail,9
118000,1
110,2
territori,4
retailgeek,1
howdi,1
late,19
session,5
godigit,1
strap,2
duck,1
wouldnt,9
c,19
probiot,1
thoughtoftheday,1
result,13
temporari,4
anticip,15
kroger,19
wall,7
journal,3
wallstreetjcp,1
sweep,6
style,3
wonder,38
adequ,2
absurd,2
intervent,2
grant,4
coverag,8
guarante,7
em,6
jelani9,1
covid,2
19,1
pound,6
bc,19
didnt,21
gain,6
trash,3
crispygreen,1
freezedri,1
sugar,2
foodallergi,1
friendli,9
denial,3
anger,2
bargain,4
emergenc,1
shot,8
omg,6
accept,6
tpfoodtheraflu,1
pic,13
intel,4
own,4
multipl,8
fast,22
franchis,2
deli,1
sainsbury,2
afternoon,15
act,28
terribl,6
sorri,11
elder,4
dontar,1
daili,20
discount,15
attend,7
sport,19
thousand,17
unknown,2
iamphilkessel,1
will,5
stricken,2
cant,70
youll,4
appreci,16
inact,1
parent,19
icu,1
bu,10
acceler,2
interact,7
ongo,5
perman,9
leverag,2
steril,2
van,2
fallen,4
75,3
stretch,8
quicktak,1
gavinnewsom,2
ship,30
entic,2
grandprincesscruis,1
coronavirustruth,1
rli,2
acct,1
imma,2
total,22
clown,4
vuner,1
elietahari,1
samplesal,1
postpon,10
jamaica,4
burst,1
strain,4
version,6
built,3
wast,11
oregon,2
chees,12
festiv,4
cross,1
microbusi,1
wan,11
trial,2
size,1
sticker,2
receiv,12
weekend,24
gd,1
bowl,1
donni,2
tout,2
coronataxcut,1
becoz,2
leovaradkar,1
cnn,11
msnbc,6
foxnew,9
discours,1
medicalscientif,1
voic,3
typic,7
societ,1
welfar,3
justif,1
decisionmak,1
unlik,4
definit,6
beg,2
easi,15
coronaviruspandem,218
madrid,2
spain,11
coronavirusspain,1
coronavirusesp,1
prick,3
sunshin,1
energi,10
ioxygen,1
clip,2
sac,1
hollywood,2
claim,8
contamin,3
guess,21
sfbart,1
teach,3
neighbour,12
havent,13
coronvirusuk,1
moron,4
sri,3
lanka,1
quit,18
nitwit,1
fucknugget,1
nobodi,15
loaf,2
bread,32
moldi,1
effici,6
brain,4
internet,11
rhett800cc,1
decid,21
hodl,1
ccdcv4,1
token,2
txnid093bd1db0c0d3a62af15883138a5f57d4cef35ae14e31e602b74489dd2524c7f,1
b,12
netherland,7
london,12
red,3
disgust,5
facebook,11
bid,1
outrag,9
selfish,29
asham,4
there,44
resel,13
malala,1
pa,3
kayo,2
sa,10
milan,3
enter,16
meter,10
italystaystrong,1
covid19itali,2
coupang,1
earli,27
seem,39
offlin,1
daegu,1
southkorea,1
capshun,1
ep,2
track,4
ban,12
freak,17
line,125
jack,7
butt,6
rest,16
covd19,15
antisept,2
stole,1
platform,13
plane,8
ptsd,2
surviv,37
hurrican,5
katrina,2
deplet,3
intens,4
flashback,3
aftermath,1
bryan700,1
officerbandit,1
ravagermog,1
imagin,22
manufacturerwarehouseretail,1
counti,10
lump,1
toliet,2
user,2
adg,1
csp,1
ino,1
arent,12
forev,4
socialdistanc,19
thursdaythought,5
thankfulthursday,2
canceleverythingnow,2
coronaoutbreak,158
14p,1
cereal,10
60p,1
bekind,16
scene,18
6pm,3
silli,1
twat,1
bulk,20
plenti,25
vulner,40
mark,5
label,4
coronavirusuk,12
amplifi,1
strengthen,1
initi,7
frontlin,8
fund,20
medicaid,14
panickbuyinguk,4
bloodi,1
painkil,1
knee,2
pain,5
autist,1
meltdown,1
kinda,10
stupid,22
swear,3
god,19
cuz,7
su,2
ove,1
settl,6
later,19
nut,10
storeout,1
batteri,1
hood,1
rule,12
appli,9
hoodrul,1
podcast,2
marc,1
patron,5
ontario,16
spreaker,1
brampton,1
caledon,1
canadianeconomi,1
mississauga,2
oilpriceshitcanadaeconomi,1
morethanmysl,1
mcspocki,1
joebiden,4
maxim,1
elderpurg,1
infirmedelderli,1
across,36
creepi,1
joe,8
nwo,2
zionist,1
puppet,1
master,4
1000x,3
quezon,1
biancadava,1
asap,6
deadli,9
slv,1
gld,1
rn,12
medstud,1
paramed,2
patriot,2
taxi,4
veteran,3
hunter,2
biker,1
surfer,1
bartend,2
e3,1
eo,3
bch,2
xrp,3
tp,58
thursdaymotiv,3
wala,1
nakita,1
ko,2
lang,2
republ,2
7394,1
titl,2
iii,1
decept,2
unfair,1
andunconscion,1
suspend,22
homedepot,1
4the,1
fals,3
purel,1
500,11
oz,1
200,7
happi,16
pricessorri,1
confus,8
athen,2
exchang,8
nosed,1
equiti,2
significantli,2
index,2
907,1
percent,3
bjp,1
mp,2
subramanian,1
swami,1
zero,7
rajya,1
sabha,1
aviat,5
fuel,13
domest,5
trmp,1
mislead,1
downplay,1
misrepresent,2
that,17
fine,13
werelick,1
door,26
novemb,2
held,4
legal,6
privaci,2
law,15
portion,2
kashmir,4
bye,2
bye,2
sgr,1
tradit,4
wazwan,3
manchurian,3
chowmin,3
fri,6
kno,1
highdemand,3
netflix,11
ondemand,3
stream,11
ser,1
usag,2
internetmobil,1
serviceonlin,1
cours,13
staysafeph,1
foodampsuppli,1
logist,5
clusterfuck,1
meteor,1
earth,8
mine,3
chew,2
mgr,2
sign,21
convent,1
dont,1
rumors,1
8,9
pregnant,2
weird,8
hasnt,1
despit,20
lotta,1
forebod,1
rudi,1
gobert,1
couldv,2
shitload,1
unless,13
facil,5
itll,2
push,16
car,18
dealership,1
coda,1
allesselunga,1
di,1
fauché,1
milano,3
adesso,1
gay,4
prevent,34
pastor,2
sissies,1
pansies,1
conserv,3
christian,6
faith,4
ball,1
egyptian,1
context,1
tweet,21
angrili,1
rap,1
beat,11
she,8
queen,2
perhap,6
tad,2
whisper,1
darkli,1
tesco,24
volum,4
shipment,5
date,10
sydney,1
kevinmorn,1
thekevinryd,1
jensenkarp,1
alliemackay,1
bottom,4
